,📚 🔍 Customer Asset Library ,,,,,,,,,,
,"Instructions:  Find former customer decks, RFPs or BVAs to learn from. Do not present any proprietary contents of these materials to prospects and customers. 

Want to add your customer work? Submit it here. Reach out to Tejal Desai, Business Value Consultant or Reshma Bynum, CSM for any questions!

Be sure to use the latest Gladly Presentation Template & reference the Customer Meeting Slides (Megadeck) for CS meeting structure",,,,,,"Definitions:
- BVA: Business value assessment that highlights current and/or future value in terms of cost savings and revenue growth.
- EBR: Executive Business Review that summarizes progress to date, partnership history, and future opportunities, more customized for top customers.
- QBR: Quarterly Business Review that summarizes progress to date and opportunities for future optimization.
- RFX: A comprehensive proposal and response to a customer or prospect request (RFP, RFI)
- Strategy Session: a customer meeting that intends to drive a discussion around Hero or Sidekick optimization and/or expansion opportunities

",,,,
Logo,Account,Stage,Type,Product,Description,Date,CS or Sales Lead,BVA Author(s),Slides URL,Model URL,Meeting Recording **NEW**
/Users/steve.westgladly.com/projects/enablement-website/logos/AG1+Black+White.webp,AG1,Post-sales,Strategy Session,Hero + SK,Customer Journeys overview,5/30/2025,"Sarah Ross, Mel MacAlister",,"AG1 Customer Journeys, May 2025",,
/Users/steve.westgladly.com/projects/enablement-website/logos/681d3685eeb7b8a8936b4e5f_black.png,Alternative Airlines,Pre-sales,BVA,Hero + SK,Hero & Sidekick value,9/30/2025,Jezzica Bellitti,Tejal Desai,Alternative Airlines Executive Deck  BVA Alternative Airlines - Sept 2025 - v1 ,"Updated_Alternative Airlines Updated BVA, August 2025",
/Users/steve.westgladly.com/projects/enablement-website/logos/Belk_Logo_New.png,Belk,Pre-sales,BVA,"Hero + SK, SK Voice",Future value of Hero + Sidekick; focus on Voice,5/30/2025,"Franklin Knox, Emilio Di Zazzo","Tejal Desai, Emilio DiZazzo","Belk - BVA Readout Template - May 8th Belk - Updated BVA Template, June 10 2025","Belk Telephony Cost Analysis, July 2025 Belk - BVA Expanded Model ",
/Users/steve.westgladly.com/projects/enablement-website/logos/catalyst_brands.png,Catalyst,Post-sales,BVA,"SK Chat & SMS, SK Voice",Sidekick value realized & future value,10/2/2025,"Tammy Bordeos, Marcus Tetweiler",Tejal Desai,Catalyst SK Expansion BVA,Catalyst/SPARC BVA SK Analysis - Sept 2025,
/Users/steve.westgladly.com/projects/enablement-website/logos/catalyst_brands.png,Catalyst,Post-sales,Executive Business Review,Hero + SK,"Sidekick current & future performance, value",9/16/2025,Tammy Bordeos,"Tammy Bordeos, Tejal Desai, Steve West",Catalyst Business Review - FY2026 Q3,Catalyst/SPARC SK Analysis - Sept 2025 Catalyst volume vs staffing - Sept 2025,Meeting recording
/Users/steve.westgladly.com/projects/enablement-website/logos/Crate-Barrel-logo.png,Crate & Barrel,Post-sales,Strategy Session,SK Answers,"Partnership, Sidekick performance & optimization",5/21/2025,"Joe Schiep, Mel MacAlister",,Crate&Barrel & Gladly | May 2025,,
/Users/steve.westgladly.com/projects/enablement-website/logos/DECK_BIG-994601de.png,Deckers,Post-sales,Strategy Session,SK Answers,SK Answers pilot success & renewal,2/19/2025,"Julia Burnett
Steve Guerrini","Julia Burnett, Tejal Desai",Deckers + Gladly | 2025 Strategy,[EW][CURRENT] Deckers Gladly Sidekick Lite ROI Model	- 01.29.2025 Revision								 									,
